processid	sampleid	recordID	catalognum	fieldnum	institution_storing	collection_code	bin_uri	phylum_taxID	phylum_name	class_taxID	class_name	order_taxID	order_name	family_taxID	family_name	subfamily_taxID	subfamily_name	genus_taxID	genus_name	species_taxID	species_name	subspecies_taxID	subspecies_name	identification_provided_by	identification_method	identification_reference	tax_note	voucher_status	tissue_type	collection_event_id	collectors	collectiondate_start	collectiondate_end	collectiontime	collection_note	site_code	sampling_protocol	lifestage	sex	reproduction	habitat	associated_specimens	associated_taxa	extrainfo	notes	lat	lon	coord_source	coord_accuracy	elev	depth	elev_accuracy	depth_accuracy	country	province_state	region	sector	exactsite	image_ids	image_urls	media_descriptors	captions	copyright_holders	copyright_years	copyright_licenses	copyright_institutions	photographers
WLIND050-07	WL-M50	552583		P34	National Bureau of Fish Genetic Resources, India		BOLD:AAB3884	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3569	Parastromateus	11525	Parastromateus niger			Wazir S. Lakra		Bloch, 1795												I						FAO-51		19.1333	75.8333							India	Maharashtra	Mumbai											
ZOSKT025-16	ASIZP0079219	7055398	ASIZP0079219		Academia Sinica, Biodiversity Research Museum		BOLD:AAB5271	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	64254	Megalaspis	64255	Megalaspis cordyla			P. L. Lin		Linnaeus, 1758																																									
ZOSKT2320-16	KU943750	7068001	1071-080		Academia Sinica, Cryobanking Program		BOLD:AAB6797	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	59233	Decapterus maruadsi			P. L. Lin		(Temminck & Schlegel, 1843)																				38.0733	104.691	Coordinates from country centroid						China													
ZOSKT2353-16	KU943788	7068034	4158-080		Academia Sinica, Cryobanking Program		BOLD:AAB7827	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3541	Alectis	11579	Alectis ciliaris			P. L. Lin		Bloch, 1787																				23.6978	120.961	Coordinates from country centroid						Taiwan													
ANGBF17214-19	MF601484	10115572			Mined from GenBank, NCBI		BOLD:ADG2635	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3536	Alepes	90893	Alepes kleinii					Bloch, 1793									Jun-2015/Apr-2017											21.9311	89.2109							Bangladesh													
ANGBF17273-19	KY402300	10115631			Mined from GenBank, NCBI		BOLD:AAC4853	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3546	Caranx	84618	Caranx crysos					Mitchill, 1815																				-9	-34.59							Brazil													
ANGBF17363-19	KX610903	10115721			Mined from GenBank, NCBI		BOLD:AAB6796	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	59233	Decapterus maruadsi					(Temminck & Schlegel, 1843)																																									
ANGBF17550-19	KM877623	10115908			Mined from GenBank, NCBI		BOLD:ADE3941	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	595072	Naucratinae	3531	Seriola	11519	Seriola lalandi					Valenciennes, 1833																																									
ANGBF17557-19	LC177978	10115915			Mined from GenBank, NCBI		BOLD:ADE3940	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	595072	Naucratinae	3531	Seriola	11519	Seriola lalandi					Valenciennes, 1833																																									
ANGBF17558-19	LC177979	10115916			Mined from GenBank, NCBI		BOLD:ADE3940	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	595072	Naucratinae	3531	Seriola	11519	Seriola lalandi					Valenciennes, 1833																																									
ANGBF54055-19	MH191082	10852140			Mined from GenBank, NCBI		BOLD:AAA8614	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3511	Trachurus	11629	Trachurus picturatus					Bowdich, 1825																				39.6753	-7.93366	Coordinates from country centroid						Portugal													
ANGBF54693-19	MH638664	10852778			Mined from GenBank, NCBI		BOLD:AAB6796	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	3534	Decapterus	59233	Decapterus maruadsi					(Temminck & Schlegel, 1843)																																									
DBMF436-10	DBMF-M436	1665660	UMTF03684	MR02-01	Universiti Malaysia Terengganu		BOLD:AAB0871	18	Chordata	77	Actinopterygii	747037	Carangiformes	1851	Carangidae	360014	Caranginae	28012	Selar	28013	Selar crumenophthalmus					Bloch, 1793					Tun Nurul Aimi													FAO-71		4.333	113.995							Malaysia	Sarawak	South China Sea		Miri									
